iter	MAE
0	7.33977349
1	7.167766331
2	7.021489148
3	6.871923278
4	6.726737724
5	6.587064394
6	6.451580765
7	6.333728307
8	6.229872286
9	6.126165348
10	6.029456745
11	5.955914019
12	5.873017561
13	5.795624255
14	5.735748812
15	5.667874143
16	5.616448105
17	5.561942205
18	5.497372762
19	5.442470611
20	5.383295703
21	5.336925081
22	5.286578663
23	5.240542997
24	5.201061502
25	5.165311367
26	5.134533645
27	5.099992595
28	5.058238371
29	5.039033273
30	5.00810833
31	4.987885206
32	4.961633946
33	4.938346063
34	4.916200138
35	4.89299464
36	4.86377437
37	4.842559446
38	4.818135983
39	4.800407835
40	4.777281
41	4.762590063
42	4.750793058
43	4.745368071
44	4.738584774
45	4.728430405
46	4.71172902
47	4.696027132
48	4.683782518
49	4.6662484
50	4.65776773
51	4.646318362
52	4.643016373
53	4.629606498
54	4.628296523
55	4.620838788
56	4.599294955
57	4.591068769
58	4.5791161
59	4.563065389
60	4.552998067
61	4.546705479
62	4.545449312
63	4.539501462
64	4.53327306
65	4.531903359
66	4.530141487
67	4.527054471
68	4.522195753
69	4.514193327
70	4.505557554
71	4.501313847
72	4.495920392
73	4.486334144
74	4.480966298
75	4.473129267
76	4.459448085
77	4.451354303
78	4.450843234
79	4.447555582
80	4.4470638
81	4.446010148
82	4.443463315
83	4.441325474
84	4.430155582
85	4.425273929
86	4.417437923
87	4.40779283
88	4.397984152
89	4.389088336
90	4.379250529
91	4.359773247
92	4.353000291
93	4.346274334
94	4.334967898
95	4.331785702
96	4.329876187
97	4.326623786
98	4.321167429
99	4.318383059
100	4.314162419
101	4.313070848
102	4.3113408
103	4.306038115
104	4.303541766
105	4.298538297
106	4.292261443
107	4.290284999
108	4.290061164
109	4.286287429
110	4.284678269
111	4.28125798
112	4.281204437
113	4.277560156
114	4.271931562
115	4.267136684
116	4.264990884
117	4.264765549
118	4.261606756
119	4.257579405
120	4.253610785
121	4.252340415
122	4.248438804
123	4.24454538
124	4.243418259
125	4.24339285
126	4.243369176
127	4.239267053
128	4.239088934
129	4.238986121
130	4.237856123
131	4.228469655
132	4.226410079
133	4.221501303
134	4.214857333
135	4.207987355
136	4.203654449
137	4.195562946
138	4.192754964
139	4.192737445
140	4.192726434
141	4.185411241
142	4.183395831
143	4.17583117
144	4.16514923
145	4.162013863
146	4.159850254
147	4.15465851
148	4.148832625
149	4.147647168
150	4.144053776
151	4.142184159
152	4.142163434
153	4.133821715
154	4.129300834
155	4.125271921
156	4.123515212
157	4.12001009
158	4.112208
159	4.108026695
160	4.102920726
161	4.099417955
162	4.097441419
163	4.084526212
164	4.084523659
165	4.080870033
166	4.07901542
167	4.077071287
168	4.073765391
169	4.06874836
170	4.064701057
171	4.059945498
172	4.052117185
173	4.047219166
174	4.047217151
175	4.044821613
176	4.044819897
177	4.040359358
178	4.038029251
179	4.038028046
180	4.029416446
181	4.025868313
182	4.021500804
183	4.018317207
184	4.010554532
185	4.008813115
186	4.005528472
187	4.003324084
188	3.99348728
189	3.985785116
190	3.982239739
191	3.980379846
192	3.977546325
