iter	Passed	Remaining
0	5	25043
1	10	26758
2	16	27001
3	21	26385
4	26	26119
5	31	26364
6	35	25615
7	41	25776
8	46	25735
9	51	25522
10	56	25701
11	61	25724
12	67	25778
13	72	25795
14	77	25836
15	82	25849
16	85	24993
17	90	25111
18	95	25077
19	100	25116
20	106	25212
21	111	25233
22	116	25294
23	122	25338
24	127	25277
25	132	25310
26	137	25256
27	142	25373
28	148	25380
29	153	25396
30	158	25419
31	162	25172
32	167	25167
33	172	25193
34	177	25206
35	182	25213
36	187	25202
37	193	25226
38	198	25265
39	204	25309
40	209	25342
41	214	25293
42	219	25271
43	221	24909
44	225	24862
45	231	24902
46	236	24950
47	241	24941
48	246	24954
49	252	24951
50	254	24699
51	259	24719
52	263	24594
53	268	24600
54	270	24358
55	275	24345
56	281	24378
57	286	24428
58	291	24390
59	296	24416
60	301	24420
61	307	24485
62	309	24252
63	315	24316
64	320	24340
65	323	24168
66	324	23907
67	329	23929
68	335	24009
69	340	23998
70	345	23973
71	350	23988
72	355	24015
73	361	24061
74	366	24087
75	372	24105
76	377	24132
77	383	24169
78	385	24014
79	390	24000
80	392	23808
81	393	23602
82	398	23628
83	404	23698
84	410	23716
85	415	23730
86	421	23801
87	426	23793
88	431	23802
89	436	23836
90	442	23853
91	447	23846
92	452	23855
93	456	23839
94	462	23866
95	468	23925
96	474	23965
97	479	23974
98	484	24003
99	490	24024
100	496	24079
101	498	23944
102	504	23962
103	509	23982
104	514	23967
105	519	23986
106	525	24037
107	530	24030
108	532	23872
109	536	23862
110	542	23883
111	546	23867
112	548	23719
113	553	23703
114	558	23703
115	562	23702
116	568	23710
117	571	23648
118	576	23652
119	582	23673
120	587	23685
121	593	23714
122	598	23738
123	604	23764
124	607	23686
125	608	23531
126	609	23371
127	613	23353
128	616	23278
129	618	23173
130	621	23103
131	626	23117
132	633	23165
133	638	23189
134	643	23198
135	649	23219
136	678	24093
137	731	25768
138	738	25833
139	742	25771
140	743	25626
141	750	25692
142	769	26126
143	776	26176
144	783	26218
145	787	26187
146	793	26192
147	799	26194
148	803	26163
149	809	26182
150	814	26161
151	819	26147
152	822	26042
153	826	26017
154	832	26029
155	837	26008
156	843	26017
157	849	26024
158	853	25998
159	859	26010
160	865	26011
161	870	26009
162	876	26002
163	881	26005
164	883	25881
165	887	25855
166	893	25844
167	898	25844
168	903	25834
169	909	25841
170	914	25836
171	919	25812
172	924	25801
173	930	25803
174	931	25694
175	936	25678
176	938	25582
177	943	25550
178	948	25545
179	950	25441
180	954	25414
181	959	25388
182	965	25421
183	972	25446
184	977	25445
185	983	25443
186	989	25457
187	994	25459
188	999	25453
189	1006	25476
190	1012	25489
191	1017	25490
192	1023	25480
193	1028	25467
194	1033	25466
195	1039	25470
196	1043	25451
197	1049	25453
198	1055	25459
199	1061	25465
200	1066	25471
201	1072	25470
202	1077	25457
203	1082	25443
204	1087	25437
205	1093	25437
206	1098	25433
207	1103	25431
208	1109	25425
209	1114	25429
210	1119	25416
211	1125	25419
212	1131	25423
213	1136	25408
214	1140	25390
215	1147	25404
216	1152	25395
217	1157	25391
218	1162	25388
219	1168	25394
220	1173	25379
221	1178	25371
222	1185	25392
223	1190	25387
224	1195	25378
225	1201	25372
226	1206	25377
227	1212	25386
228	1218	25382
229	1223	25364
230	1228	25358
231	1233	25351
232	1239	25360
233	1245	25366
234	1250	25352
235	1256	25357
236	1261	25360
237	1266	25344
238	1271	25332
239	1277	25327
240	1282	25327
241	1287	25321
242	1294	25341
243	1300	25344
244	1305	25337
245	1311	25337
246	1316	25335
247	1321	25327
248	1327	25334
249	1333	25341
250	1339	25335
251	1344	25336
252	1350	25337
253	1355	25335
254	1361	25335
255	1366	25328
256	1372	25334
257	1378	25337
258	1384	25342
259	1390	25354
260	1396	25362
261	1403	25381
262	1410	25404
263	1417	25425
264	1423	25426
265	1430	25459
266	1436	25472
267	1443	25487
268	1448	25481
269	1455	25493
270	1461	25503
271	1467	25505
272	1472	25498
273	1477	25491
274	1484	25499
275	1489	25495
276	1495	25506
277	1502	25516
278	1507	25514
279	1513	25510
280	1519	25512
281	1524	25512
282	1530	25505
283	1535	25498
284	1541	25505
285	1547	25500
286	1552	25488
287	1558	25492
288	1563	25487
289	1568	25476
290	1574	25471
291	1580	25482
292	1585	25472
293	1591	25476
294	1596	25459
295	1601	25456
296	1606	25439
297	1612	25450
298	1618	25448
299	1624	25446
300	1629	25440
301	1635	25442
302	1640	25436
303	1646	25437
304	1652	25437
305	1658	25438
306	1664	25438
307	1669	25433
308	1675	25428
309	1680	25421
310	1685	25411
311	1691	25412
312	1696	25408
313	1702	25400
314	1707	25397
315	1712	25385
316	1717	25374
317	1722	25368
318	1729	25371
319	1734	25360
320	1739	25354
321	1744	25347
322	1749	25334
323	1755	25335
324	1760	25327
325	1765	25319
326	1771	25310
327	1776	25298
328	1781	25294
329	1787	25293
330	1793	25292
331	1798	25293
332	1805	25300
333	1810	25295
334	1816	25292
335	1822	25297
336	1828	25298
337	1833	25294
338	1839	25296
339	1846	25305
340	1852	25308
341	1858	25307
342	1864	25313
343	1870	25313
344	1876	25312
345	1882	25321
346	1888	25328
347	1894	25324
348	1899	25316
349	1904	25305
350	1910	25301
351	1917	25326
352	1924	25329
353	1930	25339
354	1936	25344
355	1942	25344
356	1948	25339
357	1953	25330
358	1958	25318
359	1963	25309
360	1969	25304
361	1974	25301
362	1980	25294
363	1985	25285
364	1990	25278
365	1994	25257
366	2000	25251
367	2006	25257
